Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1280.23650,Staphylococcus aureus strain 1839,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,1839,,,,MLST.saureus.737,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134307,GCA_009696835.1,,WIPR00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. mar-2019,,,52,2722483,32.720974,7.0,148482.0,58.0,3.0,,2721,98.07,97.77,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Udmurtia,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:07.616Z,2019-12-31T05:24:07.616Z
1280.23651,Staphylococcus aureus strain 8,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,8,,,,,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134309,GCA_009696865.1,,WIPT00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. mar-2019,,,75,2724026,32.813786,10.0,104687.0,56.0,3.0,,2738,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Moscow,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:13.470Z,2019-12-31T05:24:13.470Z
1280.23658,Staphylococcus aureus strain 18-19M,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-19M,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134359,GCA_009697005.1,,WIQA00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,50,2746928,32.717274,7.0,123287.0,57.0,3.0,,2760,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:32:39.643Z,2019-12-31T05:32:39.643Z
1280.23659,Staphylococcus aureus strain 18-16,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-16,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134341,GCA_009696965.1,,WIPX00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,40.0x,SPAdes v. MAR-2019,,,48,2747294,32.718887,7.0,123103.0,59.0,3.0,,2762,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:31:45.029Z,2019-12-31T05:31:45.029Z
1280.23660,Staphylococcus aureus strain 18-13,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-13,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134342,GCA_009696985.1,,WIPY00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,47,2748054,32.719845,6.0,123287.0,57.0,3.0,,2764,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:28:32.346Z,2019-12-31T05:28:32.346Z
1280.23662,Staphylococcus aureus strain 18-29M,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-29M,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134349,GCA_009697015.1,,WIPZ00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,53,2751168,32.715885,7.0,124078.0,58.0,3.0,,2767,98.13,97.89,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:31:23.714Z,2019-12-31T05:31:23.714Z
1280.23663,Staphylococcus aureus strain 18-35M,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-35M,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134360,GCA_009697035.1,,WIQB00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,45.0x,SPAdes v. MAR-2019,,,48,2746472,32.71692,7.0,123425.0,58.0,3.0,,2758,98.13,97.89,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:32:33.467Z,2019-12-31T05:32:33.467Z
1280.23664,Staphylococcus aureus strain 18-7M,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-7M,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134362,GCA_009697085.1,,WIQD00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,55,2820150,32.73929,6.0,154453.0,57.0,3.0,,2854,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Udmurtia,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:26:31.518Z,2019-12-31T05:26:31.518Z
1280.23665,Staphylococcus aureus strain 18-13-1,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-13-1,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134361,GCA_009697055.1,,WIQC00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,47,2748168,32.719944,6.0,127893.0,57.0,3.0,,2766,98.13,97.83,,99.81,,blood,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:26:34.113Z,2019-12-31T05:26:34.113Z
1280.15848,Staphylococcus aureus strain K17,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,,K17,,,,MLST.saureus.2454,,,,,,,,,,,,,,,,,2018-01-03T00:00:00Z,,,PRJNA376656,SAMN06702660,GCA_002850395.1,,CP020713,CENTER FOR INTERDISCIPLINARY STUDIES IN SCIENCE AND TECHNOLOGY,,IonTorrent,55.0x,GS De Novo Assembler v. July 2016,,,1,2729453,,,,,,,2804,99.9,99.4,0.6,100.0,,bovine milk,,2014-08-07,2014,,India,,,,Asia,India: Anand District,env_biome:Cattle Farm,Bovine milk,Cow Milk,,,,Nonhuman Mammal,,,,,Study was proposed to enlist virulence factors in bacterium affecting to cause mastitis in bovines.,2018-05-25T05:16:57.406Z,2018-05-25T05:16:57.406Z
1280.44388,Staphylococcus aureus K17,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Complete,K17,,,,MLST.saureus.2454,,,,,,,,,,,,,,,,Good,2018-01-03T00:00:00Z,,,PRJNA376656,SAMN06702660,GCA_002850395.1,,CP020713,,,IonTorrent,55.0x,GS De Novo Assembler v. July 2016,,,1,2729453,32.72216,1.0,2729453.0,55.0,3.0,,2799,99.9,99.3,0.4,100.0,,bovine milk,,2014-08-07,2014,,India,,,,Asia,India: Anand District,,Bovine milk,Cow Milk,,,,Nonhuman Mammal,,,,,,2022-12-26T03:14:46.313Z,2022-12-26T03:14:46.313Z
1280.14709,Staphylococcus aureus strain 241,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,241,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Poor,2017-11-07T00:00:00Z,,,PRJNA416861,SAMN07966380,GCA_002761175.1,,PENB00000000,"IBCh, Pushchino",WGS,IonTorrent,114.0x,Newbler v. 3.0,,,56,2732925,32.74,13.0,73034.0,49.0,3.0,,3149,99.7,93.4,18.6,100.0,High CheckM contamination score,milk,,2016,2016,,Russia,,,,Europe,Russia: Kaluzhskaya obl.,temperature:37,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:mixed culture;collected_by:L.K. Ernst All-Russian Research Institute of Animal Husbandry,"S. aureus, Antibiotic resistance, Enterotoxins, Exotoxins;many frameshifted proteins",2017-11-24T17:20:00.606Z,2017-11-24T17:20:00.606Z
1280.15140,Staphylococcus aureus strain 11131,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,11131,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Poor,2017-12-05T00:00:00Z,,,PRJNA420059,SAMN08104878,GCA_002810375.1,,PIOF00000000,Ernst VIZh Federal Science Center; Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry,WGS,IonTorrent,145.0x,Newbler GS De Novo Assembler v. 3.0,,,53,2714821,32.74,11.0,75406.0,51.0,2.0,,3407,99.8,89.9,30.4,100.0,High CheckM contamination score,cow's milk,isolated from cow's milk,2016,2016,,Russia,,,,Europe,Russia: Central Region,temperature:37,Bos taurus,Cow,,,,Nonhuman Mammal,,,,"sample_type:pure culture;biomaterial_provider:Artem'eva OA, Laboratory Microbiology;collected_by:L.K. Ernst All-Russian Research Institute of Animal Husbandry (Academician, Russian Academy of Sciences, Prof. Zinovieva NA, Director of Institute)","Clone of S. aureus isolated from cow's milk. Study of the antibiotic resistance, staphylococcal exotoxins;many frameshifted proteins",2018-01-01T03:33:36.531Z,2018-01-01T03:33:36.531Z
